isin,location,custodian,available_qty,reserved,settlement,counterparty
SE7343487,US-DT-03,DTC,16000000,0,12-Aug-26,SG Corp & Inv
SE7343487,ES-IB-19,Iberclear,4000000,0,16-Aug-26,DB Frankfurt
SE7343487,US-DT-13,DTC,8000000,0,14-Aug-26,Morgan Stanley
XS3066988,ES-IB-12,Iberclear,4000000,0,13-Aug-26,BNP Paribas
US1532196,LU-EC-09,Euroclear,8000000,0,14-Aug-26,DB Frankfurt
US1532196,ES-IB-08,Iberclear,16000000,0,13-Aug-26,Citi London
IT6504282,FR-EC-02,Euroclear,4000000,0,15-Aug-26,Natixis
IT6504282,LU-EC-08,Euroclear,4000000,0,14-Aug-26,Citi London
IT6504282,FR-EC-23,Euroclear,2000000,0,16-Aug-26,BNP Paribas
FR3513975,ES-IB-24,Iberclear,16000000,0,13-Aug-26,JPM Securities
FR3513975,US-DT-08,DTC,2000000,0,15-Aug-26,Citi London
FR3513975,US-DT-13,DTC,2000000,0,12-Aug-26,JPM Securities
FI3027719,US-DT-10,DTC,10000000,0,16-Aug-26,BNP Paribas
NL2024312,FR-EC-14,Euroclear,80000000,0,15-Aug-26,Morgan Stanley
NL2024312,US-DT-02,DTC,10000000,0,12-Aug-26,ING Wholesale
NO3177334,DE-CB-08,Clearstream,8000000,0,16-Aug-26,JPM Securities
NO3177334,DE-CB-22,Clearstream,16000000,0,12-Aug-26,BNP Paribas
US6371045,US-DT-17,DTC,1000000,0,12-Aug-26,Natixis
FR8617750,FR-EC-15,Euroclear,20000000,0,13-Aug-26,BNP Paribas
IT9092675,LU-EC-02,Euroclear,20000000,0,12-Aug-26,BNP Paribas
IT9092675,DE-CB-11,Clearstream,20000000,0,12-Aug-26,JPM Securities
DE6328491,IT-MT-23,Monte Titoli,5000000,0,12-Aug-26,DB Frankfurt
DE6328491,DE-CB-19,Clearstream,10000000,0,14-Aug-26,Morgan Stanley
DE6328491,FR-EC-12,Euroclear,40000000,0,16-Aug-26,DB Frankfurt
NL4345887,FR-EC-22,Euroclear,4000000,0,13-Aug-26,ING Wholesale
NL4345887,IT-MT-21,Monte Titoli,4000000,0,15-Aug-26,Morgan Stanley
NL4345887,IT-MT-09,Monte Titoli,4000000,0,12-Aug-26,Natixis
FR3064434,LU-EC-20,Euroclear,4000000,0,15-Aug-26,JPM Securities
FR3064434,FR-EC-03,Euroclear,8000000,0,13-Aug-26,SG Corp & Inv
FR3194835,LU-EC-17,Euroclear,2000000,0,14-Aug-26,SG Corp & Inv
FR3194835,FR-EC-05,Euroclear,16000000,0,16-Aug-26,SG Corp & Inv
FR3194835,FR-EC-04,Euroclear,2000000,0,15-Aug-26,DB Frankfurt
FI8276321,ES-IB-22,Iberclear,40000000,0,15-Aug-26,Citi London
FI8276321,FR-EC-04,Euroclear,20000000,0,15-Aug-26,DB Frankfurt
SE6402783,ES-IB-19,Iberclear,16000000,0,14-Aug-26,Citi London
US9652842,IT-MT-04,Monte Titoli,1000000,0,13-Aug-26,Citi London
FR8590797,DE-CB-19,Clearstream,8000000,0,12-Aug-26,Citi London
FR8590797,FR-EC-17,Euroclear,4000000,0,13-Aug-26,Citi London
DE9327351,FR-EC-10,Euroclear,500000,0,14-Aug-26,Citi London
DE9327351,FR-EC-01,Euroclear,1000000,0,16-Aug-26,Natixis
US2203025,LU-EC-15,Euroclear,20000000,0,15-Aug-26,SG Corp & Inv
XS7830697,US-DT-06,DTC,1000000,0,14-Aug-26,Natixis
XS7830697,IT-MT-24,Monte Titoli,4000000,0,16-Aug-26,BNP Paribas
SE7468748,US-DT-12,DTC,1000000,0,15-Aug-26,ING Wholesale
SE7468748,US-DT-13,DTC,8000000,0,13-Aug-26,Morgan Stanley
SE7468748,DE-CB-24,Clearstream,2000000,0,12-Aug-26,SG Corp & Inv
FR7074788,ES-IB-10,Iberclear,10000000,0,16-Aug-26,JPM Securities
FR7074788,IT-MT-04,Monte Titoli,5000000,0,15-Aug-26,Citi London
IT6338286,US-DT-14,DTC,8000000,0,13-Aug-26,SG Corp & Inv
XS3991597,FR-EC-09,Euroclear,8000000,0,13-Aug-26,Natixis
XS3991597,LU-EC-07,Euroclear,4000000,0,15-Aug-26,Natixis
DE9670622,ES-IB-23,Iberclear,2000000,0,16-Aug-26,SG Corp & Inv
DE9670622,IT-MT-10,Monte Titoli,1000000,0,12-Aug-26,BNP Paribas
DE9670622,LU-EC-07,Euroclear,8000000,0,16-Aug-26,SG Corp & Inv
XS6187842,IT-MT-15,Monte Titoli,20000000,0,16-Aug-26,DB Frankfurt
XS6187842,DE-CB-15,Clearstream,20000000,0,12-Aug-26,ING Wholesale
NL2216828,IT-MT-20,Monte Titoli,8000000,0,12-Aug-26,ING Wholesale
NL2216828,ES-IB-15,Iberclear,4000000,0,14-Aug-26,JPM Securities
XS4016745,US-DT-08,DTC,2000000,0,14-Aug-26,DB Frankfurt
XS4016745,FR-EC-02,Euroclear,8000000,0,15-Aug-26,Citi London
XS4016745,ES-IB-10,Iberclear,1000000,0,16-Aug-26,Citi London
IT3404983,LU-EC-18,Euroclear,20000000,0,16-Aug-26,ING Wholesale
IT3404983,US-DT-19,DTC,5000000,0,16-Aug-26,Natixis
US6526997,ES-IB-18,Iberclear,1000000,0,15-Aug-26,ING Wholesale
US6526997,IT-MT-09,Monte Titoli,8000000,0,14-Aug-26,SG Corp & Inv
US6526997,LU-EC-07,Euroclear,2000000,0,13-Aug-26,Citi London
IT1984616,DE-CB-13,Clearstream,4000000,0,12-Aug-26,SG Corp & Inv
IT1984616,ES-IB-24,Iberclear,8000000,0,14-Aug-26,Morgan Stanley
US7182333,FR-EC-10,Euroclear,5000000,0,15-Aug-26,DB Frankfurt
US7182333,ES-IB-06,Iberclear,5000000,0,15-Aug-26,JPM Securities
US7182333,US-DT-22,DTC,20000000,0,16-Aug-26,Citi London
XS3315696,LU-EC-11,Euroclear,40000000,0,13-Aug-26,Morgan Stanley
XS3315696,US-DT-01,DTC,5000000,0,15-Aug-26,Citi London
US4676889,FR-EC-22,Euroclear,4000000,0,15-Aug-26,Natixis
US4676889,IT-MT-03,Monte Titoli,500000,0,12-Aug-26,JPM Securities
IT2779503,ES-IB-13,Iberclear,10000000,0,16-Aug-26,BNP Paribas
ES5721797,LU-EC-09,Euroclear,5000000,0,13-Aug-26,ING Wholesale
FR8190012,IT-MT-11,Monte Titoli,8000000,1000000,14-Aug-26,Citi London
FI7128769,DE-CB-16,Clearstream,5000000,2500000,15-Aug-26,ING Wholesale
NL1181551,ES-IB-13,Iberclear,16000000,1000000,12-Aug-26,Natixis
NL1181551,IT-MT-24,Monte Titoli,8000000,0,13-Aug-26,Morgan Stanley
ES7215840,LU-EC-14,Euroclear,4000000,250000,12-Aug-26,ING Wholesale
ES7215840,DE-CB-01,Clearstream,4000000,0,14-Aug-26,JPM Securities
ES7215840,IT-MT-23,Monte Titoli,500000,0,13-Aug-26,DB Frankfurt
DE5123091,IT-MT-02,Monte Titoli,500000,0,12-Aug-26,Morgan Stanley
DE5123091,LU-EC-17,Euroclear,4000000,0,13-Aug-26,SG Corp & Inv
DE5123091,LU-EC-05,Euroclear,500000,0,13-Aug-26,Citi London
DE7842077,DE-CB-08,Clearstream,2000000,0,15-Aug-26,Natixis
DE7842077,FR-EC-23,Euroclear,8000000,0,12-Aug-26,SG Corp & Inv
DE7842077,IT-MT-14,Monte Titoli,8000000,0,15-Aug-26,JPM Securities
US4232266,IT-MT-03,Monte Titoli,4000000,0,13-Aug-26,DB Frankfurt
US4232266,DE-CB-13,Clearstream,2000000,0,13-Aug-26,DB Frankfurt
US2939410,ES-IB-10,Iberclear,80000000,0,16-Aug-26,Morgan Stanley
US2939410,FR-EC-12,Euroclear,80000000,0,14-Aug-26,BNP Paribas
US4693601,US-DT-06,DTC,2000000,0,13-Aug-26,DB Frankfurt
US4693601,FR-EC-03,Euroclear,8000000,0,14-Aug-26,DB Frankfurt
CA7943323,US-DT-15,DTC,4000000,0,13-Aug-26,ING Wholesale
CA7943323,IT-MT-18,Monte Titoli,500000,0,15-Aug-26,DB Frankfurt
SE9018132,US-DT-24,DTC,2000000,0,16-Aug-26,Citi London
FR7032950,FR-EC-05,Euroclear,16000000,0,14-Aug-26,BNP Paribas
FR7032950,IT-MT-05,Monte Titoli,8000000,0,16-Aug-26,BNP Paribas
NL9466774,LU-EC-02,Euroclear,10000000,0,15-Aug-26,JPM Securities
XS5788966,LU-EC-12,Euroclear,4000000,0,13-Aug-26,ING Wholesale
XS5788966,ES-IB-09,Iberclear,2000000,0,15-Aug-26,DB Frankfurt
US7638118,FR-EC-09,Euroclear,1000000,0,16-Aug-26,Morgan Stanley
US7638118,US-DT-23,DTC,8000000,0,15-Aug-26,BNP Paribas
US7638118,US-DT-01,DTC,8000000,0,12-Aug-26,Natixis
FI6714639,DE-CB-12,Clearstream,20000000,0,13-Aug-26,DB Frankfurt
FR4427601,FR-EC-17,Euroclear,2000000,0,15-Aug-26,Morgan Stanley
FR4427601,LU-EC-04,Euroclear,8000000,0,14-Aug-26,Citi London
FR4427601,DE-CB-09,Clearstream,1000000,0,15-Aug-26,Natixis
US3381986,LU-EC-13,Euroclear,2000000,0,15-Aug-26,BNP Paribas
US3381986,FR-EC-05,Euroclear,8000000,0,14-Aug-26,SG Corp & Inv
US3381986,FR-EC-21,Euroclear,4000000,0,13-Aug-26,ING Wholesale
FR2452399,US-DT-12,DTC,2000000,0,15-Aug-26,DB Frankfurt
FR2452399,DE-CB-20,Clearstream,500000,0,13-Aug-26,Citi London
FR2452399,ES-IB-20,Iberclear,500000,0,14-Aug-26,JPM Securities
US5275739,IT-MT-02,Monte Titoli,1000000,0,13-Aug-26,DB Frankfurt
US5275739,ES-IB-14,Iberclear,4000000,0,16-Aug-26,BNP Paribas
US2042323,DE-CB-04,Clearstream,40000000,0,12-Aug-26,Morgan Stanley
US2042323,ES-IB-23,Iberclear,40000000,0,14-Aug-26,JPM Securities
US3988523,FR-EC-13,Euroclear,10000000,2500000,12-Aug-26,JPM Securities
US3988523,LU-EC-13,Euroclear,40000000,0,15-Aug-26,ING Wholesale
US3988523,FR-EC-09,Euroclear,10000000,0,13-Aug-26,BNP Paribas
IT6510260,IT-MT-02,Monte Titoli,500000,250000,16-Aug-26,Natixis
IT6510260,IT-MT-10,Monte Titoli,500000,0,12-Aug-26,DB Frankfurt
IT6510260,LU-EC-22,Euroclear,500000,0,12-Aug-26,SG Corp & Inv
DE2848564,DE-CB-17,Clearstream,500000,250000,12-Aug-26,DB Frankfurt
